depth	min	max	median	mean
6	14331	14925	14636	14638
16	14551	15106	14826	14825
27	14783	15293	15045	15043
36	15005	15516	15249	15252
56	15450	15919	15691	15687
66	15675	16098	15886	15887
76	15858	16263	16062	16059
86	15980	16362	16178	16175
96	16088	16449	16270	16271
116	16273	16584	16425	16428
126	16347	16657	16493	16500
136	16424	16716	16570	16568
146	16490	16773	16629	16630
156	16540	16837	16691	16689
177	16661	16950	16806	16805
186	16707	16991	16854	16852
206	16810	17091	16952	16953
237	16961	17255	17107	17107
247	17010	17305	17157	17156
266	17104	17388	17245	17249
287	17209	17506	17350	17353
296	17250	17548	17395	17396
306	17302	17590	17445	17446
331	17426	17727	17571	17572
341	17471	17774	17619	17622
371	17617	17936	17777	17778
401	17771	18103	17939	17939
440	17984	18324	18152	18154
471	18167	18494	18322	18324
501	18330	18644	18486	18487
521	18435	18741	18588	18591
561	18636	18934	18793	18791
571	18685	18985	18835	18836
590	18777	19060	18919	18922
620	18901	19196	19049	19051
641	18996	19291	19136	19140
681	19179	19447	19305	19308
711	19295	19573	19429	19430
731	19383	19654	19511	19511
763	19502	19783	19633	19635
791	19608	19888	19742	19742
801	19646	19924	19777	19779
831	19757	20034	19895	19894
861	19865	20145	20002	20005
895	19982	20267	20130	20129
911	20051	20323	20184	20184
941	20162	20426	20285	20288
971	20250	20528	20387	20387
1011	20391	20658	20521	20521
1051	20517	20783	20652	20651
1091	20645	20912	20781	20781
1111	20714	20981	20847	20847
1141	20815	21075	20946	20947
1152	20851	21110	20985	20984
1161	20884	21145	21018	21017
1183	20971	21228	21097	21097
1211	21067	21347	21201	21203
1232	21147	21433	21286	21289
1251	21233	21514	21371	21372
1261	21271	21559	21420	21421
1291	21426	21728	21574	21575
1301	21480	21785	21626	21628
1321	21580	21911	21743	21742
1361	21817	22142	21976	21976
1382	21951	22268	22100	22103
1391	21992	22324	22157	22157
1421	22170	22511	22341	22342
1461	22421	22749	22588	22589
1490	22577	22934	22760	22760
1523	22781	23120	22945	22945
1583	23105	23419	23266	23265
1611	23245	23557	23401	23403
1641	23389	23687	23545	23543
1671	23528	23819	23677	23675
1691	23605	23886	23759	23754
1701	23635	23922	23797	23792
1733	23765	24045	23915	23910
1761	23865	24144	24009	24008
1805	24010	24293	24162	24160
1821	24071	24344	24215	24214
1851	24182	24442	24313	24313
1857	24205	24464	24333	24333
1883	24285	24544	24416	24415
1901	24343	24598	24470	24473
1903	24352	24604	24478	24480
1965	24553	24826	24684	24685
2001	24664	24935	24801	24802
2017	24718	24992	24856	24857
2061	24872	25165	25011	25012
2064	24879	25176	25023	25023
2111	25051	25366	25205	25206
2125	25102	25431	25264	25265
2151	25219	25550	25382	25384
2177	25344	25711	25513	25520
2224	25619	26022	25811	25812
2263	25902	26407	26129	26136
