"labID","age","error","depth"
"265160",-146,527,10
"265161",-138,490.5,15
"265162",-120,460.5,20
"265163",-88,482,25
"265164",-38,480,30
"265165",33,422,35
"265166",128,404,40
"265167",251,389,45
"265168",340,380,48
"265169",477,362,52
"265170",596,349,55
"265171",824,321,60
"265172",1094,337,65
"265173",1403,367,70
"265174",1741,395,75
"265175",2098,409.5,80
"265176",2464,419.5,85
"265177",2830,424,90
"265178",3186,426.5,95
"265179",3391,426,98
"265180",3650,424.5,102
"265181",3835,421,105
"265182",4124,416.5,110
"265183",4391,409,115
"265184",4639,398,120
"265185",4867,385,125
"265186",5078,370,130
"265187",5273,355,135
"265188",5452,341,140
"265189",5619,328.5,145
"265190",5713,321.5,148
"265191",5817,337.5,151.5
"265192",5917,292.5,155
"265193",6051,268,160
"265194",6177,243,165
"265195",6297,227,170
"265196",6411,220.5,175
"265197",6520,213.5,180
"265198",6626,220.5,185
"265199",6727,201,190
"265200",6825,196,195
"265201",6882,194.5,198
"265202",6939,194,201
"265203",7012,193.5,205
"265204",7101,195,210
"265205",7188,197,215
"265206",7273,200,220
"265207",7357,205,225
"265208",7439,211.5,230
"265209",7520,223,235
"265210",7601,238.5,240
"265211",7681,256.5,245
"265212",7745,274,249
