depth	min	max	median	mean
0	-48	-36	-42	-42
5	-35	197	30	44
15	60	458	221	227
25	199	702	429	432
35	342	915	617	624
45	551	1103	817	820
55	742	1299	1015	1018
65	956	1521	1222	1218
70	1050	1595	1313	1311
85	1352	1861	1603	1605
95	1553	2037	1778	1781
105	1698	2230	1951	1950
115	1831	2395	2111	2114
125	2002	2584	2282	2285
135	2155	2770	2454	2459
145	2319	2957	2633	2635
155	2476	3112	2811	2808
170	2730	3379	3063	3060
175	2810	3474	3142	3143
185	2990	3661	3312	3311
195	3146	3823	3480	3482
205	3327	3992	3649	3648
215	3474	4175	3820	3820
225	3656	4364	3995	3997
235	3817	4507	4162	4166
245	4008	4680	4335	4341
253	4184	4806	4473	4483
255	4205	4844	4515	4519
265	4376	5020	4691	4694
275	4560	5204	4883	4881
285	4742	5407	5081	5081
295	4968	5617	5292	5284
305	5161	5814	5499	5495
315	5357	6116	5734	5739
325	5623	6505	6037	6044
335	5888	6832	6366	6362
345	6154	7230	6688	6689
355	6444	7607	7012	7024
375	7131	8338	7693	7701
395	7731	9029	8385	8383
415	8458	9722	9094	9087
435	9135	10378	9762	9767
455	9849	10902	10417	10407
475	10467	11469	10969	10970
495	10980	12016	11485	11486
515	11406	12493	11934	11939
535	11822	12908	12341	12357
575	12467	13757	13089	13097
615	13045	14405	13747	13755
