depth	min	max	median	mean
98	-65	91	8	7
114	123	284	200	200
130	310	484	397	397
146	494	692	592	593
162	686	931	802	802
178	873	1147	1008	1006
188	1012	1292	1148	1150
196	1159	1429	1285	1287
204	1302	1584	1436	1437
212	1445	1736	1591	1592
220	1586	1875	1736	1735
228	1725	2009	1866	1868
236	1848	2105	1980	1980
244	1946	2207	2072	2072
252	2025	2287	2154	2155
260	2102	2347	2222	2226
268	2164	2421	2295	2295
280	2260	2506	2387	2387
308	2466	2702	2591	2590
324	2589	2790	2696	2695
332	2652	2837	2748	2746
340	2703	2884	2794	2794
348	2755	2932	2843	2844
356	2806	2988	2895	2896
372	2911	3128	3020	3019
382	2987	3211	3099	3098
384	3002	3227	3115	3114
392	3059	3309	3186	3184
400	3125	3383	3251	3251
408	3188	3444	3314	3314
416	3257	3516	3386	3387
432	3383	3687	3536	3538
448	3552	3872	3707	3708
456	3685	3988	3838	3838
464	3884	4236	4055	4055
468	4034	4434	4240	4238
470	4186	4556	4393	4386
472	4263	4801	4535	4534
476	5377	5854	5668	5659
478	6003	6639	6371	6360
480	6405	6842	6634	6629
484	6848	7357	7108	7106
488	7185	7589	7405	7400
492	7368	7672	7525	7527
496	7487	7801	7642	7641
500	7604	7932	7766	7768
504	7737	8089	7914	7915
508	7883	8247	8074	8070
512	8022	8351	8186	8185
516	8125	8457	8293	8294
520	8244	8578	8402	8406
524	8340	8743	8526	8528
528	8427	8926	8654	8660
532	8604	9102	8850	8846
536	8761	9272	9019	9020
540	8944	9440	9192	9194
544	9129	9619	9373	9374
548	9290	9813	9551	9552
552	9471	9951	9717	9714
556	9626	10110	9865	9862
560	9754	10256	9996	9999
564	9871	10389	10128	10132
568	10004	10561	10262	10268
572	10103	10716	10382	10383
578	10205	10916	10525	10522
586	10300	11049	10646	10658
