"labID","age","error","depth"
"164060",-33,3,0
"164061",781,871,10
"164062",1607,1240.5,20
"164063",6582,2050.5,80
"164064",7411,2093,90
"164065",8235,2083.5,100
"164066",9064,2074,110
"164067",9893,2055.5,120
"164068",10725,2011.5,130
"164069",11425,1915.5,140
"164070",11827,1800.5,150
"164071",12241,1698.5,160
"164072",12656,1586,170
"164073",13069,1478.5,180
"164074",13480,1374.5,190
"164075",13894,1261.5,200
"164076",14307,1126,210
"164077",14725,974,220
"164078",15188,983,230
"164079",15704,1149,240
