labID,age,error,depth
522219,-50,1,1
522220,-49,1,4.5
522224,-39.9,0.5,7.625
522223,-29,1.5,10.75
522221,-16,2,12.5
522222,7,2.85,15.875
522225,15,3.5,16.875
522226,28,3.5,18
522228,43,5,19.5
522227,59,5.5,20.75
522229,71,6,22
522230,83,7,23.25
522232,84,5,24.75
522231,96,5.5,26
522234,122,10,27.375
522233,147,15,28.75
522235,173,21,31.625
522237,224,32,33.75
522236,245,36,34.75
522238,263,40,35.625
522239,292,45,37.25
522240,310,49,38.375
522242,337,53.5,39.75
522241,363,57.5,41
522244,397,62.5,42.75
522243,425,66.5,44.25
522245,557,78,50.5
522247,671,80.5,55.5
522246,784,77.5,60.5
522248,922,71,66.5
522249,948,67.5,70.5
522250,983,65,75.5
522251,1009,67.5,80.5
522252,1009,67.5,90.5
522253,1102,92,120.5
522254,1710,160,140.5
522256,2346,122,155.5
522255,2556,107,160.5
522257,2764,99.5,165.5
522258,3303,107.5,185.5
522260,3408,89,210.5
522259,3462,75,230.5
522261,3589,63,260.5
522262,3629,62,280.5
522263,3789,75.5,310.5
522264,3871,80.5,321.5
522265,4099,71,335.5
522266,4526,207.5,390.5
522267,4739,217,420.5
522268,4900,192.5,450.5
522271,5106,172.5,480.5
522270,5229,162,490.5
522269,5523,134.5,510.5
522272,6092,129,530.5
