depth	min	max	median	mean
0	-51	-39	-45	-45
20	177	937	485	506
30	393	1357	776	801
50	829	1999	1331	1349
70	1332	2602	1903	1917
80	1565	2939	2176	2195
90	1810	3228	2468	2479
100	2065	3542	2745	2754
110	2316	3836	3010	3029
120	2576	4110	3277	3300
130	2782	4407	3550	3573
150	3302	4942	4089	4095
170	3813	5393	4596	4610
200	4577	6151	5393	5393
220	5141	6630	5897	5898
240	5672	7104	6407	6413
250	5926	7369	6671	6666
270	6440	7832	7166	7166
280	6688	8026	7406	7402
290	6941	8281	7640	7639
300	7225	8475	7889	7886
310	7483	8670	8131	8124
320	7756	8883	8379	8359
330	8044	9102	8609	8596
340	8313	9330	8833	8831
350	8555	9539	9065	9057
360	8796	9761	9282	9282
370	9027	9966	9508	9509
380	9234	10151	9719	9717
390	9482	10345	9929	9928
400	9724	10519	10132	10130
410	9928	10688	10331	10323
420	10112	10853	10496	10494
440	10476	11196	10830	10837
450	10666	11331	11006	11003
460	10824	11471	11162	11161
470	10997	11609	11312	11312
480	11156	11734	11460	11458
490	11312	11873	11605	11602
495	11388	11953	11677	11674
500	11465	12025	11746	11744
505	11526	12095	11809	11807
510	11588	12168	11871	11870
520	11721	12293	11992	11996
530	11836	12413	12125	12124
540	11956	12533	12248	12246
550	12091	12683	12371	12373
562	12222	12812	12517	12521
580	12407	13083	12744	12746
590	12540	13231	12875	12875
600	12643	13353	13001	13007
610	12739	13525	13137	13140
620	12849	13691	13276	13280
630	12977	13880	13409	13422
