"labID","age","error","depth"
"381048",1605,869.5,5
"381049",2327,732.5,10
"381050",3049,598,15
"381051",3772,485.5,20
"381052",4494,390,25
"381053",5216,356.5,30
"381054",5929,477.5,35
"381055",6614,500.5,40
"381056",7255,420,45
"381057",7833,347,50
"381058",8330,371,55
"381059",8745,414.5,60
"381060",9092,452.5,65
"381061",9383,489.5,70
"381062",9635,519,75
"381063",9860,540.5,80
"381064",10074,551.5,85
"381065",10290,557,90
"381066",10522,550,95
"381067",10783,514,100
"381068",10896,508.5,102
"381069",11013,449,104
"381070",11134,433,106
"381071",11260,418.5,108
"381072",11389,403.5,110
"381073",11523,388,112
"381074",11660,373.5,114
"381075",11801,358.5,116
"381076",11945,344,118
"381077",12093,328.5,120
"381078",12398,297,124
"381079",12715,269.5,128
"381080",12878,257.5,130
"381081",13210,237,134
"381082",13380,230,136
"381083",13552,224,138
"381084",13726,219,140
"381085",14079,215,144
"381086",14440,216,148
"381087",14806,218.5,152
"381088",15178,225,156
"381089",15555,237,160
"381090",15936,255,164
"381091",16320,275,168
"381092",16707,298,172
"381093",17096,324,176
"381094",17486,364.5,180
"381095",17876,399.5,184
"381096",18363,445.5,189
