depth	min	max	median	mean
5	-68	160	27	30
10	-24	214	84	89
15	30	272	152	150
20	89	342	209	212
25	146	414	271	277
30	199	479	338	339
35	270	543	402	401
40	328	609	464	466
45	390	673	530	529
50	445	742	590	589
55	505	786	647	648
60	557	859	708	710
65	616	913	771	768
70	672	974	830	826
75	727	1039	887	886
80	786	1093	946	944
85	850	1162	1000	1001
90	900	1210	1053	1053
95	956	1279	1114	1112
100	1004	1332	1170	1168
105	1046	1397	1221	1221
110	1104	1443	1274	1276
115	1163	1497	1327	1328
120	1217	1557	1376	1382
125	1276	1608	1430	1435
130	1331	1679	1482	1486
135	1377	1721	1537	1540
140	1426	1774	1591	1595
145	1472	1832	1647	1647
150	1525	1887	1698	1700
155	1580	1943	1750	1754
160	1629	1988	1807	1808
165	1686	2054	1861	1862
170	1735	2104	1917	1916
175	1780	2165	1970	1970
180	1839	2214	2024	2024
185	1882	2278	2080	2082
190	1939	2339	2139	2136
195	1990	2408	2194	2193
200	2036	2473	2247	2249
205	2090	2538	2302	2309
210	2145	2614	2369	2373
215	2198	2688	2433	2436
220	2247	2791	2505	2509
225	2308	2904	2578	2584
